time;gFx;gFy;gFz;TgF
0,860000;-0,1301;0,7835;0,5793;0,983
0,865000;-0,1318;0,7849;0,5778;0,984
0,870000;-0,1311;0,7847;0,5756;0,982
0,875000;-0,1338;0,7903;0,5776;0,988
0,880000;-0,1384;0,7901;0,5832;0,992
0,884000;-0,1396;0,7918;0,5839;0,994
0,891000;-0,1443;0,7923;0,5854;0,996
0,895000;-0,1462;0,7896;0,5854;0,994
0,900000;-0,1443;0,7898;0,5859;0,994
0,906000;-0,1460;0,7915;0,5847;0,995
0,911000;-0,1448;0,7898;0,5820;0,992
0,916000;-0,1436;0,7930;0,5807;0,993
0,920000;-0,1409;0,7908;0,5783;0,990
0,937000;-0,1411;0,7927;0,5825;0,994
0,938000;-0,1431;0,7918;0,5798;0,992
0,939000;-0,1445;0,7896;0,5812;0,991
0,941000;-0,1411;0,7891;0,5785;0,989
0,946000;-0,1387;0,7923;0,5754;0,989
0,951000;-0,1350;0,7910;0,5768;0,988
0,963000;-0,1343;0,7859;0,5746;0,983
0,964000;-0,1294;0,7847;0,5751;0,981
0,966000;-0,1277;0,7874;0,5727;0,982
0,971000;-0,1277;0,7866;0,5678;0,979
0,977000;-0,1294;0,7888;0,5727;0,983
0,981000;-0,1326;0,7879;0,5771;0,986
0,986000;-0,1318;0,7881;0,5793;0,987
0,991000;-0,1348;0,7861;0,5810;0,987
0,996000;-0,1345;0,7893;0,5815;0,990
1,001000;-0,1350;0,7883;0,5839;0,990
1,021000;-0,1360;0,7859;0,5817;0,987
1,023000;-0,1333;0,7861;0,5842;0,988
1,023000;-0,1345;0,7849;0,5849;0,988
1,024000;-0,1374;0,7854;0,5847;0,989
1,027000;-0,1401;0,7866;0,5854;0,991
1,031000;-0,1367;0,7847;0,5864;0,989
1,037000;-0,1350;0,7844;0,5883;0,990
1,043000;-0,1370;0,7883;0,5866;0,992
1,047000;-0,1362;0,7876;0,5922;0,995
1,051000;-0,1392;0,7879;0,5922;0,995
1,057000;-0,1421;0,7896;0,5898;0,996
1,062000;-0,1396;0,7905;0,5878;0,995
1,066000;-0,1414;0,7923;0,5895;0,998
1,072000;-0,1416;0,7908;0,5930;0,998
1,077000;-0,1404;0,7896;0,5890;0,995
1,082000;-0,1387;0,7888;0,5876;0,993
1,088000;-0,1396;0,7830;0,5866;0,988
1,092000;-0,1367;0,7869;0,5883;0,992
1,098000;-0,1357;0,7869;0,5837;0,989
1,103000;-0,1352;0,7847;0,5781;0,984
1,121000;-0,1367;0,7866;0,5734;0,983
1,123000;-0,1355;0,7832;0,5781;0,983
1,124000;-0,1335;0,7876;0,5807;0,988
1,124000;-0,1328;0,7881;0,5805;0,988
1,128000;-0,1348;0,7881;0,5810;0,988
1,133000;-0,1384;0,7888;0,5856;0,992
1,138000;-0,1387;0,7910;0,5871;0,995
1,145000;-0,1404;0,7905;0,5866;0,994
1,149000;-0,1377;0,7893;0,5881;0,994
1,154000;-0,1411;0,7901;0,5900;0,996
1,158000;-0,1387;0,7903;0,5861;0,994
1,164000;-0,1360;0,7896;0,5866;0,993
1,169000;-0,1350;0,7901;0,5847;0,992
1,175000;-0,1348;0,7866;0,5815;0,987
1,179000;-0,1308;0,7849;0,5810;0,985
1,184000;-0,1311;0,7830;0,5815;0,984
